"client_id","transactions","contacts_with_advisor","customer_satisfaction","products_held","age","income","churn"
212,23,3,5,3,42,51042,"0"
213,19,5,3,2,24,34012,"0"
214,12,8,4,1,58,82312,"1"
215,12,9,4,2,45,29005,"0"
216,44,6,3,4,48,57083,"0"
217,29,4,4,3,58,66908,"0"
218,24,4,4,2,51,49110,"0"
219,23,4,4,3,49,49911,"0"
220,69,2,3,5,44,66094,"0"
221,21,7,4,2,69,79628,"0"
222,18,5,5,1,52,60597,"0"
223,36,3,5,3,51,60918,"0"
224,56,3,3,6,62,61475,"0"
225,21,4,5,2,55,71068,"0"
226,58,4,4,4,39,42390,"0"
227,29,6,2,2,45,54157,"0"
228,13,6,5,1,41,59088,"0"
229,17,5,5,1,30,29301,"1"
230,0,5,5,1,48,59462,"0"
231,24,10,5,2,57,59602,"0"
232,25,5,5,1,44,66788,"0"
233,19,3,4,2,55,84834,"0"
234,17,8,5,1,59,42180,"0"
235,91,0,1,8,49,81206,"1"
236,54,3,3,4,44,59922,"0"
237,10,6,4,1,42,53155,"0"
238,60,0,5,5,47,79675,"0"
239,32,3,4,3,69,80304,"0"
240,28,4,5,2,51,58739,"0"
241,20,6,4,1,44,48991,"0"
242,43,3,5,3,45,53367,"1"
243,0,7,5,1,51,56335,"1"
244,11,8,5,1,52,46774,"0"
245,25,5,5,3,66,88687,"0"
246,27,6,5,2,45,64061,"0"
247,16,7,4,1,62,74238,"0"
248,16,7,5,1,42,54780,"1"
249,24,4,3,2,53,63915,"0"
250,79,3,3,6,46,66537,"0"
251,1,4,5,2,62,84504,"0"
252,10,5,3,1,67,61373,"0"
253,22,5,4,2,68,53517,"1"
254,42,4,4,3,58,74987,"0"
255,15,5,5,1,44,65635,"0"
256,58,3,4,4,49,42456,"0"
257,5,6,4,1,54,72291,"1"
258,28,3,4,3,25,39815,"1"
259,33,4,3,3,67,68371,"0"
260,41,5,5,3,37,62283,"0"
261,56,1,3,4,44,58907,"1"
262,17,5,5,1,66,89659,"0"
263,24,5,4,2,55,77510,"0"
264,68,0,4,6,56,48967,"0"
265,45,4,5,3,41,59803,"0"
266,14,9,5,1,31,48575,"0"
267,63,1,5,5,41,50839,"0"
268,13,6,4,1,56,91712,"0"
269,70,0,4,6,59,35493,"0"
270,61,0,3,5,51,52097,"0"
271,26,5,5,1,45,66972,"1"
272,40,1,5,4,55,48526,"0"
273,20,5,5,2,43,35500,"0"
274,6,6,5,1,56,46469,"0"
275,64,5,5,5,37,51031,"0"
276,16,6,5,2,72,60930,"0"
277,22,3,5,2,18,45725,"0"
278,31,4,3,2,67,44413,"0"
279,26,6,4,2,42,84419,"0"
280,24,3,4,2,65,73933,"0"
281,36,8,4,2,32,48840,"0"
282,0,8,5,1,46,35847,"1"
283,11,5,5,1,53,69858,"0"
284,77,0,2,7,38,62296,"0"
285,30,6,5,2,44,49050,"1"
286,11,6,5,1,56,58743,"0"
287,27,7,3,2,57,53628,"1"
288,11,7,5,1,35,28477,"0"
289,30,8,5,2,38,57855,"0"
290,12,4,3,1,52,84159,"0"
291,45,2,5,5,67,82510,"0"
292,46,4,3,4,59,57397,"0"
293,12,3,5,2,32,16465,"1"
294,17,5,4,2,41,67137,"0"
295,18,5,5,2,28,27370,"1"
296,10,5,5,1,59,66170,"1"
297,48,4,3,4,40,63316,"0"
298,34,3,4,3,50,66906,"0"
299,4,5,4,1,57,69811,"0"
300,21,7,5,1,48,66128,"0"
301,21,6,4,2,40,36260,"0"
302,25,7,4,2,51,39920,"0"
303,12,7,4,1,34,18236,"1"
304,28,4,4,2,78,73363,"0"
305,48,3,4,5,20,62408,"1"
306,80,0,3,6,76,98283,"1"
307,21,5,5,2,57,52273,"1"
308,15,4,4,1,43,48404,"0"
309,20,4,5,2,53,36170,"0"
310,27,4,4,2,49,32339,"0"
311,13,8,4,1,77,58016,"1"
312,83,0,5,7,76,94687,"0"
313,23,4,5,2,59,58521,"0"
314,7,6,5,1,47,73274,"0"
315,7,5,5,1,52,63514,"0"
316,73,2,3,6,41,93020,"1"
317,25,5,5,2,39,34303,"0"
318,33,4,5,3,46,35196,"1"
319,58,2,4,5,68,85901,"0"
320,86,0,5,8,44,60999,"0"
321,23,5,4,2,53,43255,"0"
322,37,7,5,2,66,45093,"0"
323,24,7,5,1,55,47750,"1"
324,38,5,2,2,56,61722,"1"
325,41,2,3,3,42,68920,"0"
326,85,5,4,6,51,75420,"0"
327,23,4,3,2,38,50585,"0"
328,49,1,3,4,41,58616,"0"
329,44,5,4,4,36,48788,"0"
330,54,3,4,4,45,59742,"0"
331,64,4,3,6,54,82699,"0"
332,23,6,5,1,49,42648,"1"
333,16,6,4,1,38,31039,"0"
334,26,7,5,2,38,39793,"0"
335,43,3,4,3,34,47483,"1"
336,18,4,5,2,55,60673,"0"
337,38,2,5,3,53,70458,"0"
338,17,4,5,2,33,32133,"0"
339,46,4,4,4,30,46776,"1"
340,32,3,5,2,49,46099,"1"
341,28,5,5,2,44,39720,"0"
342,16,4,5,1,36,77794,"0"
343,54,4,5,4,62,61352,"0"
344,14,4,5,2,49,68504,"0"
345,13,5,4,1,50,33387,"0"
346,17,7,5,1,57,74116,"1"
347,85,0,4,6,55,43726,"1"
348,14,7,5,2,46,86889,"0"
349,55,3,4,4,36,49484,"0"
350,46,3,4,5,64,74248,"1"
351,16,4,5,2,29,65434,"0"
352,52,3,5,3,67,87050,"0"
353,20,4,5,1,44,37756,"0"
354,10,6,5,1,75,60507,"1"
355,43,2,5,4,48,74551,"0"
356,29,4,5,2,43,45261,"0"
357,40,4,3,3,50,53088,"1"
358,78,1,3,6,66,70965,"0"
359,35,6,4,2,28,15000,"0"
360,32,4,5,2,46,68776,"0"
361,28,4,5,3,54,67518,"0"
362,38,2,5,3,52,65369,"0"
363,24,5,4,2,51,77359,"0"
364,80,0,3,7,46,42650,"0"
365,44,4,4,3,36,70667,"0"
366,32,4,5,3,84,90299,"0"
367,35,2,4,3,33,80667,"0"
368,65,7,4,6,62,83186,"1"
369,30,4,4,2,37,35381,"0"
370,22,5,5,2,26,17261,"0"
371,3,5,5,1,52,47250,"1"
372,36,6,5,2,75,73790,"0"
373,53,2,5,4,58,51154,"1"
374,12,6,5,1,30,26496,"0"
375,48,2,5,4,42,72178,"0"
376,73,3,1,6,41,65788,"1"
377,6,6,4,1,36,49536,"1"
378,13,5,4,1,62,55913,"1"
379,5,5,4,1,80,84115,"0"
380,46,3,5,4,33,92037,"0"
381,43,2,5,3,60,20784,"0"
382,20,6,4,2,37,45779,"0"
383,20,9,5,2,63,76787,"0"
384,34,4,4,2,53,60031,"0"
385,26,3,3,3,47,64792,"0"
386,46,2,4,4,59,48558,"1"
387,12,5,4,1,77,68776,"0"
388,79,1,4,6,67,53549,"1"
389,5,7,5,1,48,53299,"0"
390,17,6,5,1,59,59132,"1"
391,56,0,4,5,37,60219,"1"
392,35,4,4,3,55,78450,"0"
393,31,5,3,3,62,55764,"0"
394,13,5,3,1,56,83751,"1"
395,55,1,3,4,43,85699,"0"
396,16,6,5,2,49,43630,"0"
397,76,2,3,6,43,49680,"0"
398,72,2,5,5,55,62894,"0"
399,41,3,5,3,46,52963,"1"
400,1,8,5,1,47,75919,"0"
401,10,6,5,1,42,76741,"0"
402,38,6,4,3,63,81802,"0"
403,17,4,5,3,54,44414,"0"
404,22,4,5,2,39,50691,"1"
405,67,5,2,5,53,59235,"1"
406,13,4,4,1,43,89619,"0"
407,80,0,4,7,51,71427,"0"
408,27,6,4,2,72,90399,"0"
409,15,6,5,1,38,35116,"1"
410,18,5,5,2,53,83841,"1"
411,3,8,5,1,33,61980,"0"
412,41,7,3,3,57,66914,"0"
413,25,6,5,1,33,53611,"1"
414,45,3,3,4,30,35353,"1"
415,0,6,4,1,57,52486,"0"
416,20,6,4,1,41,49499,"0"
417,25,5,5,2,26,57864,"0"
418,50,2,3,4,34,63638,"0"
419,20,4,5,2,63,71614,"0"
420,11,11,5,1,52,40632,"0"
421,24,4,4,1,52,49978,"1"
422,38,5,4,2,61,49681,"0"
423,92,0,4,7,52,64200,"0"
424,74,2,4,4,18,23680,"1"
425,54,4,5,3,50,44119,"1"
426,16,6,5,1,33,42536,"1"
427,20,4,5,2,39,18162,"0"
428,22,5,5,2,30,42621,"0"
429,27,6,4,3,54,55384,"0"
430,41,5,4,3,77,75911,"0"
431,41,2,5,3,56,32680,"1"
432,36,2,5,3,73,81113,"0"
433,28,4,4,2,47,77907,"0"
434,10,7,4,1,44,27774,"1"
435,63,0,3,6,59,50542,"0"
436,12,6,5,1,35,72051,"1"
437,12,6,5,2,34,52174,"0"
438,8,6,5,1,18,31534,"0"
439,10,6,5,1,23,58607,"1"
440,15,7,3,2,45,35332,"0"
441,41,7,4,3,51,79149,"0"
442,76,1,3,6,46,42602,"1"
443,20,4,5,2,27,71249,"0"
444,72,2,5,5,36,50064,"0"
445,19,4,5,2,41,59720,"0"
446,21,6,4,2,61,94131,"1"
447,10,4,5,1,54,55309,"1"
448,49,4,5,4,40,58502,"0"
449,31,9,5,3,31,15182,"0"
450,16,8,5,1,48,52345,"0"
451,10,5,5,2,29,56535,"0"
452,21,9,5,2,42,63200,"0"
453,28,2,5,3,46,48579,"0"
454,35,2,4,3,65,53036,"0"
455,23,4,5,2,61,65038,"0"
456,25,6,4,2,52,90164,"0"
457,27,4,5,2,47,63457,"1"
458,46,3,4,3,44,45487,"0"
459,58,1,5,5,57,89385,"0"
460,36,3,5,4,33,67636,"0"
461,19,5,3,2,46,54161,"1"
462,20,6,4,1,65,57118,"1"
463,42,4,4,4,40,44424,"0"
464,18,9,5,1,32,54819,"0"
465,10,5,3,1,50,74792,"0"
466,43,8,5,3,54,59128,"1"
467,26,6,4,2,70,42430,"0"
468,11,8,5,1,39,55902,"1"
469,24,4,5,2,44,60306,"1"
470,51,2,4,5,65,46752,"0"
471,16,3,5,2,47,87045,"0"
472,9,6,3,1,54,43838,"0"
473,49,1,5,5,56,41537,"0"
474,72,2,5,6,65,50337,"0"
475,27,5,5,2,61,51796,"0"
476,17,4,3,2,50,43605,"0"
477,35,4,3,3,35,63350,"0"
478,68,4,2,5,49,71596,"0"
479,8,8,5,1,59,51658,"1"
480,47,4,5,4,65,59190,"0"
481,20,4,4,1,58,34907,"0"
482,27,6,5,3,32,52947,"0"
483,35,2,5,4,52,48328,"0"
484,26,5,5,1,36,60217,"0"
485,68,5,5,5,44,50980,"0"
486,19,5,4,2,37,63614,"0"
487,40,1,3,5,70,58939,"0"
488,12,7,5,1,48,40260,"0"
489,26,7,4,1,72,66454,"0"
490,13,6,5,1,29,53551,"1"
491,87,1,3,7,41,71325,"0"
492,32,3,3,2,60,56905,"0"
493,42,4,5,4,44,44777,"1"
494,34,5,5,2,74,83671,"0"
495,25,4,5,2,42,52760,"1"
496,15,7,5,1,24,50427,"0"
497,56,6,5,4,49,91987,"0"
498,23,4,5,2,45,58102,"1"
499,15,6,5,1,48,76582,"1"
500,14,6,5,1,40,33574,"0"
501,0,6,4,1,42,51338,"1"
502,11,5,4,1,40,47264,"1"
503,49,3,4,3,45,35138,"1"
504,55,2,2,4,36,61554,"0"
505,12,4,5,1,63,46986,"0"
506,76,3,5,5,39,65811,"0"
507,37,3,3,3,65,58097,"1"
508,11,5,4,1,33,38546,"0"
509,51,0,5,5,60,65325,"1"
510,47,9,4,2,43,32852,"0"
511,7,5,5,1,52,73897,"1"
512,38,3,3,4,59,60827,"0"
513,22,4,5,1,39,63806,"0"
514,25,3,5,2,53,58061,"1"
515,41,3,4,3,49,57810,"0"
516,27,7,4,2,37,34105,"0"
517,14,6,5,1,57,69478,"0"
518,30,4,5,2,22,43040,"0"
519,23,3,4,2,69,63454,"0"
520,30,4,4,3,64,81209,"1"
521,49,4,5,4,48,67457,"0"
522,78,0,2,6,45,64943,"1"
523,48,2,4,4,54,65681,"0"
524,0,7,4,1,44,70417,"0"
525,35,6,5,3,48,58175,"0"
526,32,4,4,3,53,93163,"1"
527,16,6,5,1,49,63350,"0"
528,77,1,5,6,71,76319,"0"
529,30,5,5,2,46,73304,"0"
530,29,6,4,2,39,30596,"0"
531,50,0,5,5,36,75198,"0"
532,27,8,5,1,43,22892,"0"
533,57,4,4,4,38,70193,"0"
534,41,5,3,3,61,87004,"0"
535,11,5,3,2,53,35678,"0"
536,7,6,5,1,49,51257,"0"
537,10,5,3,1,50,41577,"0"
538,28,6,3,3,39,54751,"1"
539,27,4,5,3,78,66889,"0"
540,7,6,4,1,60,55446,"1"
541,50,4,5,4,59,54622,"0"
542,79,0,4,6,52,83276,"0"
543,38,4,5,3,52,74408,"1"
544,24,6,4,1,58,69516,"0"
545,37,4,3,3,55,67030,"0"
546,44,2,5,4,59,73822,"0"
547,40,3,3,3,45,53325,"0"
548,19,5,5,1,65,100722,"0"
549,9,4,5,2,32,49743,"0"
550,17,4,4,2,72,81623,"0"
551,55,4,5,5,49,75173,"1"
552,19,7,5,1,52,70365,"0"
553,36,6,5,3,49,80160,"0"
554,7,8,5,1,40,47053,"0"
555,11,7,4,1,44,25310,"0"
556,22,7,5,1,68,101295,"0"
557,46,1,4,5,75,74957,"0"
558,29,4,3,2,37,47326,"1"
559,56,3,4,5,54,90348,"0"
560,49,4,4,4,44,66560,"1"
561,52,3,4,4,51,45416,"0"
562,33,6,4,1,54,63418,"1"
563,8,9,5,1,44,30517,"1"
564,3,4,5,1,53,55390,"1"
565,14,4,5,2,70,38414,"0"
566,29,5,5,2,37,58157,"1"
567,39,3,3,4,45,36031,"0"
568,23,7,5,2,54,43260,"0"
569,33,6,3,3,54,35233,"0"
570,54,3,5,4,51,73489,"0"
571,55,3,5,3,54,45560,"0"
572,1,4,5,1,48,32249,"0"
573,83,0,2,8,52,34308,"1"
574,11,6,5,1,49,76010,"0"
575,16,6,5,1,61,57207,"1"
576,42,4,5,3,59,49431,"0"
577,8,5,5,1,50,46074,"0"
578,13,6,5,1,66,40398,"0"
579,41,3,4,3,52,84054,"1"
580,28,4,4,3,57,57883,"0"
581,6,6,5,1,53,50141,"0"
582,58,5,3,5,43,72152,"0"
583,35,6,5,3,59,81114,"1"
584,50,4,4,3,28,58801,"0"
585,11,7,4,1,38,36913,"1"
586,15,5,3,2,58,40294,"0"
587,76,0,2,7,65,66354,"1"
588,101,0,4,8,32,57536,"1"
589,31,4,3,2,64,62047,"1"
590,51,3,5,4,34,67185,"0"
591,24,7,3,2,43,64569,"1"
592,35,3,2,4,34,46722,"0"
593,25,5,4,2,48,64138,"0"
594,92,0,4,8,51,71358,"0"
595,52,1,5,4,55,66291,"0"
596,22,5,4,2,45,59814,"1"
597,36,3,5,3,50,86216,"0"
598,25,6,5,2,54,58607,"0"
599,16,6,4,1,38,39977,"0"
600,22,5,5,2,42,32508,"1"
601,27,6,5,2,67,68777,"0"
602,25,5,5,2,18,68015,"0"
603,41,2,5,4,61,75347,"1"
604,28,6,5,2,63,62647,"0"
605,34,5,4,3,66,88135,"0"
606,29,5,4,2,45,32584,"0"
607,52,1,4,4,60,48246,"0"
608,12,6,4,1,53,82325,"0"
609,21,3,4,2,42,52426,"0"
610,37,3,3,3,57,80412,"0"
611,13,5,5,2,54,61221,"0"
612,32,2,4,3,45,72868,"0"
613,39,2,5,3,44,95939,"0"
614,28,7,3,2,47,75840,"0"
615,52,3,3,4,56,50049,"0"
616,73,0,3,6,49,59794,"0"
617,11,8,5,1,34,35289,"0"
618,1,6,5,1,54,47630,"0"
619,27,7,4,2,46,70714,"0"
620,27,5,5,2,59,69148,"1"
621,26,7,5,2,35,73116,"1"
622,28,5,5,3,27,62315,"0"
623,10,7,4,1,44,45378,"1"
624,40,3,4,4,42,65188,"0"
625,7,5,5,1,58,84430,"0"
626,39,4,5,3,28,49982,"1"
627,11,7,5,2,37,45557,"0"
628,27,3,5,2,48,41815,"0"
629,35,3,3,4,41,72056,"0"
630,22,5,5,2,48,76288,"0"
631,21,5,4,2,36,48243,"1"
632,1,5,5,1,40,57504,"1"
633,19,4,4,1,39,60091,"0"
634,7,9,4,1,29,29433,"0"
635,40,4,5,3,55,87855,"0"
636,47,2,3,4,44,37758,"0"
637,19,4,4,1,43,59275,"0"
638,46,3,5,3,63,77286,"0"
639,59,2,4,5,58,76359,"0"
640,54,3,5,4,42,59833,"0"
641,38,7,5,2,61,67023,"1"
642,19,7,5,1,45,42783,"0"
643,39,5,5,3,45,52823,"0"
644,51,2,5,4,52,61438,"0"
645,32,3,5,3,52,26745,"0"
646,29,5,4,3,49,64956,"0"
647,18,5,5,2,47,61058,"0"
648,21,7,4,2,55,52695,"0"
649,67,0,3,6,62,92853,"0"
650,74,0,4,6,45,42916,"1"
651,9,5,4,1,67,65571,"1"
652,64,0,3,6,40,80834,"0"
653,55,2,4,5,74,95809,"0"
654,35,2,5,3,60,106883,"0"
655,33,5,5,3,46,72581,"0"
656,15,7,4,2,24,43406,"0"
657,0,8,4,1,45,39307,"1"
658,12,5,4,1,46,78604,"0"
659,33,5,4,2,67,53316,"0"
660,41,4,5,2,55,61286,"0"
661,34,1,4,4,28,53406,"1"
662,54,3,3,5,53,66842,"0"
663,30,3,2,2,39,54596,"1"
664,49,2,4,4,30,57493,"0"
665,10,6,5,1,61,65621,"0"
666,53,4,3,4,57,59434,"1"
667,42,6,3,3,45,34403,"0"
668,27,4,4,2,67,68619,"1"
669,40,2,5,4,46,66802,"1"
670,36,5,5,2,30,49274,"0"
671,25,4,4,2,61,84278,"1"
672,73,1,4,4,42,79271,"0"
673,12,4,5,1,52,46058,"1"
674,30,5,5,2,39,66122,"0"
675,15,6,5,1,34,37876,"0"
676,9,6,5,1,55,79955,"0"
677,22,5,5,1,39,63713,"0"
678,27,6,5,2,44,48654,"0"
679,17,5,5,2,59,35912,"0"
680,18,3,4,2,19,64179,"0"
681,14,5,4,2,39,50673,"0"
682,51,4,4,5,68,66898,"0"
683,49,4,4,4,50,53901,"0"
684,64,0,3,6,30,79846,"0"
685,30,5,5,2,49,100985,"0"
686,46,4,5,4,51,71680,"0"
687,16,8,4,1,41,44721,"0"
688,7,7,3,1,42,69894,"1"
689,34,2,4,4,50,72136,"0"
690,39,7,4,3,60,77891,"0"
691,36,4,5,3,40,62899,"1"
692,20,5,5,1,59,62672,"0"
693,57,1,3,5,28,82153,"0"
694,41,4,5,4,74,75584,"0"
695,3,7,3,1,59,81724,"0"
696,54,5,4,4,43,60241,"0"
697,30,4,4,3,49,88992,"1"
698,70,0,2,6,35,38868,"0"
699,59,4,4,5,39,62800,"1"
700,15,3,5,2,54,78130,"0"
701,29,2,3,4,25,51231,"0"
702,33,5,5,3,58,68686,"1"
703,14,7,5,1,60,62718,"0"
704,44,2,2,4,51,79772,"0"
705,51,5,3,4,41,83973,"0"
706,48,1,4,4,58,57047,"0"
707,15,5,5,1,48,64221,"0"
708,13,6,4,2,71,103485,"0"
709,22,7,4,2,56,49369,"0"
710,39,4,5,3,72,83922,"0"
711,61,1,3,5,43,65893,"0"
712,69,2,4,5,64,89467,"0"
713,29,6,5,2,62,55729,"0"
714,52,2,3,4,58,73183,"0"
715,54,2,5,4,71,57988,"0"
716,49,2,5,4,64,66949,"0"
717,20,4,5,2,63,65554,"0"
718,30,5,3,2,67,46197,"0"
719,14,5,5,1,41,72809,"0"
720,48,3,5,3,58,62526,"0"
721,14,7,5,1,65,63629,"0"
722,28,7,4,3,28,40246,"0"
723,16,5,4,1,65,66391,"0"
724,9,6,5,2,37,48794,"0"
725,20,6,4,2,32,36780,"0"
726,51,4,3,4,49,40457,"0"
727,23,4,5,2,29,58948,"0"
728,39,4,4,2,41,69931,"0"
729,25,6,5,2,60,71294,"0"
730,39,6,5,3,51,75511,"1"
731,21,4,5,2,65,44224,"0"
732,66,0,3,6,53,58162,"0"
